 a few seconds| några sekunder
Searching|Söker
Select Channel|Välj kanal
Select cities|Välj städer
Select Contact Action|Välj kontakthändelse
Select Contact Size|Välj kontaktstorlek
Select e-mail address|Välj e-postadress
Select phone number:|Välj telefonnummer:
Select shortcut|Välj genväg
Select Skin|Välj skal
Select wallpaper from|Välj bakgrund från
Selected cities|Valda städer
Selected City|Vald stad
Selected city|Vald stad
Send Email|Skicka e-post.
Send E-mail|Skicka e-post
Send E-Mail|Skicka e-post
Send Message|Skicka meddelande
Send MMS|Skicka MMS
Send SMS|Skicka SMS
September|September
Serial number:|Serienummer:
Set as Home|Använd som Hem
Set as Wallpaper|Använd som bakgrund
Set wallpaper|Välj bakgrund
Set: %s|Nedgång: %s
Settings|Inställningar
Show all|Visa alla
Show all day events|Visa heldagshändelser
Show all day events in calendar widgets|Visa heldagshändelser i kalenderwidgetar
Show full news|Visa fulla nyheter
Show images in news|Visa bilder i nyheter
Silent|Tyst
Skin loading|Laddar skal
Small|Liten
Smartphone|Smartphone
Smog|Smog
Social|Socialt
Social Network|Socialt nätverk
Sound Profile|Ljudprofil
south|söder
south east|sydost
south west|sydväst
SPB Shell 3D is loading...|SPB Shell 3D laddas...
SPB Wallpapers|SPB Wallpapers
SPB Widget|SPB-widget
st|:a
Standard Edition [Beta]|Standard Edition [Beta]
Stereoscopic 3D mode|Stereoskopiskt 3D-läge
Stereoscopic 3D mode will be disabled|Stereoskopiskt 3D-läge kommer deaktiveras
Stereoscopic 3D Settings|Inställningar för stereoskopisk 3D
Sun in %s,|Solen i %s,
Sunday|Söndag
SW|SV
Switching the interface mode can take up to a minute. Screen orientation will be changed to '%s'.|Att byta gränssnittsläge kan ta upp till en minut. Skärmorienteringen kommer att ändras till '%s'.
System|System
Tablet|Tablet
Tap here to download|Tryck här för att ladda
Taurus|Oxen
Temperatur scale|Temperaturskala
Temperature scale|Temperaturskala
Test Battery|Testa batteri
th|:e
Thank you for your support. Your copy is now registered.|Tack för ert stöd. Kopian är nu registrerad.
The experimental features below are not ready to be shipped in the core of SPB Shell 3D. They may contain severe defects and cause system instability. Use them at your own risk.|De experimentella funktionerna nedan är inte färdiga för att inkluderas i kärnan av SPB Shell 3D. De kan innehålla allvarliga fel som gör systemet instabilt. Använd dem på egen risk.
The maximum number of panels is reached|Maximalt antal paneler har uppnåtts
The name cannot be changed.|Namnet kan inte ändras.
The previous launch of SPB Shell 3D was unsuccessful. Please tap "Retry" to launch it again or "Home" to activate a different Home screen.|Vid förra försöket gick det inte att starta SPB Shell 3D. Välj "Försök igen" för att försöka igen eller "Hem" för att aktivera en annan hemskärm.
Time|Tid
Time Panel|Tidspanel
Time Panel Settings|Inställningar för tidspanel
Today|Idag
Toggle|Växla
Tomorrow|Imorgon
Tools|Verktyg
Travel|Resande
Unfortunately, we could not locate your purchase in Android Market. Please uninstall this copy before installing a new one.|Dessvärre kunde vi inte hitta ditt inköp i Android Market. Var vänlig avinstallera denna kopia och installera därefter den nya.
Unfortunately, we could not locate your purchase. Please uninstall this copy before installing a new one.|Vi kunde dessvärre inte hitta ditt köp. Avinstallera denna kopia innan du installerar en ny.
Uninstall|Avinstallera
Uninstall apps|Avinstallera appar
Unknown|Okänd
Unknown location|Okänd plats
Upcoming events|Kommande aktiviteter
Update|Uppdatera
Update deals list automatically|Uppdatera erbjudanden automatiskt
Update Now|Uppdatera nu
